Company,E,S,G,ESG,компания РСПП
Lukoil,6,1,1,1,ПАО «ЛУКОЙЛ»
MMK,9,3,5,2,
Gazprom,11,6,3,3,ПАО «Газпром»
Tatneft,5,4,9,4,ПАО «Татнефть»
"ALROSA, AK",16,9,7,5,АК «АЛРОСА»
Russian Railways,4,11,11,6,ОАО «РЖД»
Rosneft,10,5,18,7,ПАО «НК «Роснефть»
Rosseti,2,13,15,8,ПАО «ФСК ЕЭС» («Россети») 
NOVATEK,3,14,14,9,ПАО «НОВАТЭК»
Norilsk Nickel,17,8,17,10,ПАО «ГМК «Норильский никель»
Aeroflot,1,19,12,11,ПАО «АЭРОФЛОТ»
NLMK Group,13,21,6,12,ПАО «НЛМК»
UC RUSAL,23,7,8,13,ОК РУСАЛ
SIBUR Holding,8,15,23,14,ПАО «СИБУР-Холдинг»
Transneft,14,10,25,15,ПАО «Транснефть»
RUSHYDRO,12,18,20,16,ПАО «РусГидро»
Metalloinvest,18,16,22,17,«МЕТАЛЛОИНВЕСТ»
Inter RAO,25,2,4,18,ПАО «ИНТЕР РАО ЕЭС»
SEVERSTAL,19,24,10,19,ПАО «Северсталь»
Rosatom,20,12,28,20,Госкорпорация «Росатом»
EVRAZ,21,20,13,21,
Siberian Coal Energy Company (SUEK),22,17,24,22,
Surgutneftegaz,7,26,26,23,ОАО «Сургутнефтегаз»
Sakhalin Energy,15,30,29,24,«Сахалин Энерджи»
EuroChem Group,26,22,16,25,АО «МХК «ЕвроХим»
Mechel,27,29,2,26,
T Plus,27,23,21,27,
United Shipbuilding Corporation,27,25,19,28,
United Aircraft Corporation,24,28,27,29,
UMMC,27,27,30,30,
