Company,E Rank,S Rank,G Rank,ESG Rank,компания РСПП
Polymetal,1,2,15,1,ПАО «Полиметалл»
LUKOIL,4,11,2,2,ПАО «ЛУКОЙЛ»
SIBURHolding,2,5,10,3,ПАО «СИБУР-Холдинг»
Russian Railways,12,9,4,4,ОАО «РЖД»
MTS,20,6,3,5,ПАО «МТС»
NLMK,8,3,18,6,ПАО «НЛМК»
Inter RAO,3,7,20,7,ПАО «ИНТЕР РАО ЕЭС»
Rostelecom,18,13,8,8,ПАО «Ростелеком»
Rosatom,10,27,5,9,Госкорпорация «Росатом»
SUEK,14,12,16,10,АО «СУЭК»
Sakhalin Energy,9,8,33,11,«Сахалин Энерджи»
Gazprom Group,5,17,26,12,ПАО «Газпром»
Severstal,26,4,11,13,ПАО «Северсталь»
Polyus,15,10,24,14,ПАО «Полюс»
Rosneft,7,19,21,15,ПАО «НК «Роснефть»
ALROSA,16,22,9,16,АК «АЛРОСА»
Sistema,22,18,13,17,АФК «Система»
Aeroflot,28,1,31,18,ПАО «АЭРОФЛОТ»
FGC UES,13,37,1,19,
RusHydro,6,21,30,20,ПАО «РусГидро»
Rosseti,11,35,6,21,ПАО «Россети»
Phosagro,21,28,14,22,ПАО «ФосАгро»
Rusal,17,24,29,23,ОК РУСАЛ
X5 Retail Group,30,20,22,24,X5 Retail Group
Petropavlovsk,19,14,36,25,Петропавловск
NOVATEK,25,23,25,26,ПАО «НОВАТЭК»
MMK,24,30,12,27,ПАО «ММК»
Transneft,31,36,7,28,ПАО «Транснефть»
EVRAZ,32,25,28,29,
Metalloinvest,23,26,38,30,«МЕТАЛЛОИНВЕСТ»
TMK,27,34,32,31,ПАО «ТМК»
Nornickel,38,16,27,32,ПАО «ГМК «Норильский никель»
Sberbank,39,32,17,33,ПАО «Сбербанк России» 
OMK,34,15,40,34,
Unipro,37,29,19,35,ПАО «Юнипро»
Gazpromneft,33,31,35,36,ПАО «Газпром нефть»
Tatneft,36,33,23,37,ПАО «Татнефть»
Magnit,35,38,37,38,Магнит
Surgutneftegas,29,42,43,39,ОАО «Сургутнефтегаз»
EuroChem,40,39,34,40,АО «МХК «ЕвроХим»
TNS Energo,52,44,39,41,
USC,43,46,41,42,
Yamal LNG,41,49,45,43,
Yandex,45,45,44,44,Яндекс
UAC,49,40,48,45,
RussNeft,44,43,46,46,
Mechel,51,52,42,47,
Slavneft,48,51,47,48,
UMMC,42,41,52,49,
TAIF-NK,46,48,49,50,
T Plus,47,50,50,51,
IMH,50,47,53,52,
S7 Airlines,53,53,51,53,
