компания,отрасль,E,S,G,компания РСПП
«ЭЛ5-Энерго»,Электроэнергетика,5,1,46,
«Полиметалл»,Драгоценные металлы,3,4,24,ПАО «Полиметалл»
«МОСКОВСКИЙ КРЕДИТНЫЙ БАНК»,Банки,1,20,14,
ПАО «Новолипецкий металлургический комбинат» (НЛМК),Чёрная металлургия,4,12,11,
"«Роснефть», нефтяная компания",Интегрированные нефтегазовые компании,11,8,6,ПАО «НК «Роснефть»
«Полюс»,Драгоценные металлы,2,22,18,ПАО «Полюс»
«Вымпелком»,Беспроводные телекоммуникационные услуги,17,6,15,ПАО «ВЫМПЕЛКОМ» / БРЕНД БИЛАЙН
"ПАО ""МТС""",Беспроводные телекоммуникационные услуги,40,7,2,ПАО «МТС»
«ЛУКОЙЛ»,Интегрированные нефтегазовые компании,10,25,3,ПАО «ЛУКОЙЛ»
«СИБУР Холдинг»,Нефтехимия,13,10,7,
«Уралкалий»,Агрохимикаты,19,5,8,ПАО «Уралкалий»
«Интер РАО»,Электроэнергетика,6,36,9,
РЖД,Железнодорожная транспортировка,16,9,20,ОАО «РЖД»
«Северсталь»,Чёрная металлургия,23,2,17,ПАО «Северсталь»
НОВАТЭК,Интегрированные нефтегазовые компании,8,15,40,ПАО «НОВАТЭК»
ПАО «Ростелеком»,Интегрированные телекоммуникационные услуги,14,23,27,ПАО «Ростелеком»
СУЭК,Угольная промышленность,25,19,4,АО «СУЭК»
«Газпром»,Интегрированные нефтегазовые компании,9,29,28,ПАО «Газпром»
Московская Биржа,Специализированные финансовые услуги,38,39,1,Московская Биржа
Акционерная компания «АЛРОСА»,Драгоценные металлы и минералы,15,13,25,АК «АЛРОСА»
«Росатом»,Атомная энергетика,7,32,37,Госкорпорация «Росатом»
АФК «Система»,Финансовые услуги,36,24,10,АФК «Система»
ЕВРАЗ,Чёрная металлургия,20,16,22,
«Сахалин Энерджи»,Интегрированные нефтегазовые компании,21,3,58,
Магнитогорский металлургический комбинат (ММК),Чёрная металлургия,27,18,19,
«РусГидро»,Электроэнергетика,12,45,32,ПАО «РусГидро»
«Газпром нефть»,Интегрированные нефтегазовые компании,29,17,23,
"«ФосАгро», группа",Агрохимикаты,24,34,21,ПАО «ФосАгро»
En+ Group,Производство алюминия,26,21,42,En+ Group 
"«Русал», объединенная компания",Производство алюминия,18,30,53,ОК РУСАЛ
X5 Group,Розничная торговля продуктами питания,32,27,43,X5 Group
"«Норильский никель», горно-металлургическая компания",Добыча прочих полезных ископаемых,35,11,44,
«Транснефть»,Транспортировка нефти,33,61,5,
ПАО «Юнипро»,Электроэнергетика,45,38,13,ПАО «Юнипро»
«ФСК ЕЭС»,Энергоснабжение,28,58,26,ПАО «ФСК ЕЭС» («Россети») 
"«Петропавловск», группа компаний",Драгоценные металлы,22,26,93,
"«Татнефть», группа",Интегрированные нефтегазовые компании,39,50,31,ПАО «Татнефть»
«КамАЗ»,Машиностроение,46,43,50,
«Группа ЛСР»,Cтроительство,58,44,33,Группа ЛСР
Кинросс Голд (Россия),Драгоценные металлы,41,33,67,
«Металлоинвест»,Чёрная металлургия,37,31,82,«МЕТАЛЛОИНВЕСТ»
«Группа Компаний ПИК»,Cтроительство,53,42,54,
«Нокиан Тайерс»,Производство шин,43,40,74,
Сбербанк,Банки,61,47,39,ПАО «Сбербанк России» 
Группа ВТБ,Банки,74,51,16,
ТМК (Трубная металлургическая компания),Чёрная металлургия,52,54,30,
Объединенная металлургическая компания (ОМК),Чёрная металлургия,50,14,91,АО «ОМК»
«Аэрофлот - Российские авиалинии»,Авиакомпании,51,49,52,ПАО «АЭРОФЛОТ»
Global Ports,Транспортная инфраструктура,110,37,12,
«Россети»,Энергоснабжение,49,60,51,ПАО «Россети»
Сегежа,Целлюлозно-бумажная промышленность,42,59,61,
Агрохолдинг «СТЕПЬ»,Cельскохозяйственная продукция,31,57,84,
«ТрансКонтейнер»,Контейнерный оператор,85,41,49,
"«Детский мир», группа компаний",Розничная торговля детскими товарами,56,55,69,Группа компаний «Детский мир»
«Зарубежнефть»,Интегрированные нефтегазовые компании,48,70,62,
Свеза,Деревообработка,57,28,101,
Росбанк,Банки,80,75,34,
UPM Чудово,Деревообработка,66,72,29,
"«Акрон», группа",Агрохимикаты,64,48,66,
Globaltrans,Железнодорожная транспортировка,77,80,35,
"«Русагро», группа компаний",Cельскохозяйственная продукция,72,52,70,
«Первая грузовая компания»,Железнодорожная транспортировка,70,63,64,
Райффайзенбанк,Банки,73,90,38,
«Совкомфлот»,Морская транспортировка,62,56,89,
«Тольяттиазот»,Агрохимикаты,59,67,92,
Mail.Ru Group,Программное обеспечение и услуги,44,35,122,
«Новороссийский морской торговый порт»,Транспортная инфраструктура,63,71,76,
"«Магнит», розничная сеть",Розничная торговля продуктами питания,55,79,81,Магнит
«Архангельский ЦБК»,Целлюлозно-бумажная промышленность,47,46,117,
Nordgold,Драгоценные металлы,60,66,78,
"«М.Видео-Эльдорадо», группа",Розничная торговля бытовой электроникой,76,85,47,ПАО «М.Видео»
"«Кузбассразрезуголь», угольная компания",Угольная промышленность,30,69,115,
«О'КЕЙ»,Розничная торговля продуктами питания,75,76,65,
«Проктер энд Гэмбл дистрибьюторская компания»,Бытовая химия,67,73,71,
Юникредит Банк,Банки,116,65,56,
GV Gold (ПАО «Высочайший»),Драгоценные металлы,71,88,48,GV Gold
