topic_name,topic_id,words
E,2,"эколог, экологическии, экологичныи, экологически, экологичность, природоохранныи, экология, загрязнение, биотопливо, экосистема, отход, экологиче, утилизироваться, загрязнить, водохранилище, газификация, экопросвещение, утилизация, нефтезагрязнить, утилизировать, атмосфера, атмосферныи, уничтожение, захоронение, выброс, загрязнять, эко, ископаемое, поселение, водопотребление, заповедник, мусор, гидрологическии, канализация, рекуперация, месторождение, разрушение, биотехнология, выведение, загрязнитель, водозабор, инстанция, водоснабжение, озеленение, эвакуация, водоочистныи, водоохранныи, окружение, водозаборныи, озоноразрушать"
Вода,11,"водоочистныи, водозаборныи, водопотребление, водозабор, водопроводныи, водоснабжение, водоканал, канализация, водоотведение, водопользование, водохранилище, водопровод, водоток, водовод, водоохранныи, водоем, водоочистка, акватория, наводнение, вода, водоподготовка, водственныи, дренажныи, гидрогенерация, речнои, водныи, гидрологическии, водородныи, утилизировать, река, утилизироваться, рекуперация, коммунальныи, ресурсныи, закупаться, водство, загрязнение, осадки, озеро, утилизация, океан, приток, гидро, осадка, гидроагрегат, скважина, рекреационныи, гидроразрыв, отход, вводныи"
Энергия,12,"энергозатраты, энергоресурсы, энергосбытовыи, энергоемкии, энергоснабжение, энергосбыт, энергообъект, энерго, энергоустановка, энергия, энергоатом, энергоемкость, энергетика, энергоноситель, энергохолдинг, энергопринимать, росэнергоатом, энергетическии, энергоаудит, энергокомплекс, электроэнергия, теплоэнергетика, энергокомпания, теплоэнергия, энергосервисныи, ленэнерго, энергобаланс, энергетик, электростанция, энергосистема, бурятэнерго, энергосервис, атомэнергопром, минэнерго, новгородэнерго, тываэнерго, атомэнергомаш, отопление, комиэнерго, энерджи, мосэнергосбыт, янтарьэнерго, магаданэнерго, топливо, алтаиэнерго, энергоблок, топливныи, ветроэнергетика, мосэнерго, теплов"
E,14,"эколог, природоохранныи, экологичныи, газа, газификация, нефть, экологическии, биотопливо, газоснабжение, газпромнефть, атомэнергопром, нефтегаз, резервист, обязательство, таманьнефтегаз, газпром, требование, газ, экопросвещение, экологичность, месторождение, единство, глобальныи, роснефть, топливо, зования, экологически, ископаемое, экономист, инстанция, газовыи, эко, девальвация, уникальность, глобализация, сургутнефтегаз, инициативность, нефтегазовыи, население, премия, инвестиция, секретариат, фабрикация, климат, топливныи, ведомость, работник, факторинг, ценность, нефтебаза"
Экологический менеджмент,15,"природоохранныи, эколог, охрана, безопасность, экологическии, охранныи, экологичныи, экологически, политик, промышленность, секретариат, безопасныи, охранять, экологичность, секретарь, экология, сохранность, пасность, безопасно, фабрикация, производствен, сохранение, защищенность, заповедник, политика, увольнение, защита, защитить, промышленныи, опасение, месторождение, обстановка, сохраняться, обеспеченность, отрасль, экосистема, промышленник, геолог, уволиться, уволить, защищать, нефть, гарантииныи, менеджмент, цех, природа, агрохимическии, сохранять, окружение, защитныи"
Газ,18,"газпром, газоснабжение, газпромнефть, газа, газовыи, газ, газопереработка, газификация, газообразныи, газотурбинныи, газоочистныи, севергазпром, газпромбанк, газопровод, сургутнефтегаз, газодобывающии, газохимическии, эколог, нефтегаз, таманьнефтегаз, биотопливо, вниигаз, парогазовыи, атомэнергопром, газомоторныи, экологичныи, атмосфера, топливныи, атмосферныи, топливо, дегазация, газоочистка, климат, экологическии, климатическии, согаз, бензин, бензиновыи, глобальныи, экологичность, ископаемое, экологически, природоохранныи, экопросвещение, авиатопливо, пром, эко, нефть, нефтегазовыи, экологиче"
Энергия,20,"федерация, атомэнергопром, участие, облигация, энергия, энергоатом, открытость, теплоэнергия, атомныи, энергосбыт, энергообъект, элемент, атом, единство, энергетика, энерго, разделение, энергосбытовыи, котельная, реакция, территория, теплоэнергетика, эмоция, облигационныи, теплообменныи, участвовать, атомфлот, связанность, обязательность, присоединение, преемственность, факторинг, ценность, содружество, объективность, провинция, еврооблигация, поучаствовать, энергозатраты, энергоаудит, бурятэнерго, власть, энергоемкии, возгорание, коалиция, делить, энергоноситель, коррупция, энергокомплекс, себестоимость"
Газ,22,"газпромнефть, нефть, нефтегаз, таманьнефтегаз, роснефть, сургутнефтегаз, нефтебаза, нефтегазовыи, газпром, нефтянои, нефтеотдача, нефтепровод, газа, газоснабжение, севергазпром, газ, газпромбанк, нефтедобыча, нефтепродукт, нефтяник, нефтегазодобыча, газовыи, газообразныи, лифт, фт, нефтедобывающии, нефтехим, газопереработка, парогазовыи, биотопливо, газотурбинныи, газопровод, бензиновыи, бензин, топливо, нефтешламовыи, топливныи, скважина, газификация, добыча, газоочистныи, добычныи, географическии, нефтехимическии, география, пролив, вниигаз, нефтешлам, залив, нафт"
Энергия,25,"электростанция, инстанция, энергосбытовыи, энергосбыт, энергозатраты, электросетевои, энергообъект, энерго, энергоустановка, электрификация, власть, провинция, энергоаудит, энергоресурсы, электричество, электроэнергия, энергия, новгородэнерго, реконструкция, энергоатом, энергокомплекс, инфраструктура, реформа, переселение, реформирование, единство, энергоемкии, уникальность, энергоноситель, энергохолдинг, факторинг, энергопринимать, станция, энергосервисныи, энергокомпания, энергоснабжение, атомэнергомаш, катастрофа, федерация, разрушение, преемственность, электротехника, атомэнергопром, энергетика, неисправность, обременение, электросвязь, субъект, поселение, объект"
E,33,"эколог, экологическии, экологически, экологичныи, экология, природоохранныи, экологичность, биотопливо, экопросвещение, экологиче, газпромнефть, экосистема, озоноразрушать, газификация, геолог, газпром, геология, биомасса, биосферныи, биоресурсы, газоснабжение, эко, биотехнология, севергазпром, геологоразведка, газа, озеленение, нефть, заповедник, гидрологическии, атмосфера, роснефть, органическии, газовыи, биоразнообразие, растительность, оповещение, таманьнефтегаз, газ, среда, газпромбанк, сургутнефтегаз, зеленыи, месторождение, окружающии, атмосферныи, окружение, обстановка, газопровод, атомэнергопром"
