topic_name,topic_id,words
Трудовые отношения,0,"работник, персонал, сотрудник, кадровыи, зарплата, вакансия, занятость, зарплатныи, безработица, увольнение, менеджер, должность, подчинение, трудовои, трудник, рентабельность, специальность, служащии, карьерныи, стажировка, работодатель, секретариат, трудиться, начальник, администратор, секретарь, численность, подчиненныи, трудоустроиство, штат, уволить, уволиться, карьера, трудоемкость, менеджерскии, уникальность, образование, коллектив, карьер, обучение, штаб, навык, труд, трудоустроить, сокращение, звание, рабочии, коэффициент, нерабочии, отпуск"
Благотворительность,1,"областнои, волонтерство, фонд, спонсорство, фондовыи, провинция, финансироваться, регион, волонтер, пожертвование, льготныи, финансирование, поселение, финансировать, льгота, поселок, община, субсидия, муниципалитет, финанс, федерация, субсидирование, округа, спонсор, площадь, спонсорскии, поддержка, формировать, финансы, участие, добровольчество, поощрение, добровольческии, формироваться, затратныи, территория, укрепление, село, поучаствовать, спонсировать, затратить, молодежь, стипендия, затрата, инвестиция, образовательныи, нужда, благосостояние, ужесточение, способствовать"
Безопасность и охрана здоровья,5,"безопасность, охрана, пасность, работник, трудник, охранныи, безопасныи, секретариат, профсоюз, секретарь, опасение, труд, производствен, сотрудник, сохранность, аварииность, профсоюзныи, безопасно, трудиться, опасность, зарплата, трудность, обеспеченность, увольнение, рабочии, страховщик, трудовои, страхование, зарплатныи, сохранение, защищенность, персонал, вакансия, охранять, трудоустроиство, фабрикация, опасныи, уволиться, уволить, цех, безработица, всесоюзныи, защита, работодатель, уверенность, стажировка, кадровыи, подрядчик, безопас, страховои"
Оплата труда,13,"пенсия, пенсионныи, пенсионер, льготныи, работник, профсоюз, стипендия, льгота, страхование, страховщик, инвалидность, компенсация, профсоюзныи, соцсеть, зарплата, компенсационныи, пособие, зарплатныи, страховои, уплата, субсидия, безработица, реформа, ветеран, больничныи, выплата, сотрудник, инвалид, кадровыи, полис, рентабельность, трудовои, персонал, волонтерство, субсидирование, реформирование, сокращение, страховка, отпуск, увольнение, продление, ветеранскии, компенсировать, отдых, всесоюзныи, здравоохранение, трудозатрата, добровольчество, оздоровление, социально"
Обучение и развитие,16,"образование, выпускник, образоваться, диплом, стипендия, студент, ужесточение, образовательныи, факультет, университет, колледж, вуз, учеба, академия, техникум, обучение, аттестат, университетскии, провинция, выпускнои, начислять, преддипломныи, образовать, поступать, выступление, федерация, начисляться, школьник, институт, учиться, гимназия, безработица, лауреат, дипломныи, училище, обучаться, преференция, студенческии, поступление, преподавание, областнои, учебныи, преемник, специальность, наставник, магистратура, курс, завершение, суз, интерфакс"
Трудовые отношения,29,"работник, сотрудник, персонал, увольнение, профсоюз, кадровыи, занятость, профсоюзныи, безработица, коллектив, зарплата, работодатель, трудовои, рабочии, секретариат, минтруд, трудник, численность, коэффициент, уволить, трудиться, уволиться, трудоустроиство, секретарь, отпуск, зарплатныи, перерыв, трудоемкость, всесоюзныи, совместитель, среднесуточныи, совмещение, труд, инвалидность, начальник, сокращение, коллегия, рентабельность, вакансия, производствен, разделение, менеджер, единство, квалификация, администратор, квалифицировать, ведомость, охрана, электропрофсоюз, ценность"
Благотворительность,35,"фестиваль, кинофестиваль, культура, культурныи, музеиныи, театр, концертныи, концерт, музеи, театральныи, федерация, спектакль, балет, аудитория, социокультурныи, экспансия, спонсорство, искусство, артист, посещаемость, поучаствовать, выступление, финансироваться, мероприятие, участвовать, организатор, феоктистов, оркестр, участие, шоу, дворец, спонсировать, латвия, экспозиция, выставочныи, выставка, поступление, спонсорскии, финансировать, событие, спонсор, музыкальныи, русскии, посетить, финансирование, задеиствовать, посещать, галерея, художественныи, кинотеатр"
Трудовые отношения,40,"профсоюз, профсоюзныи, работник, всесоюзныи, труд, трудник, электропрофсоюз, трудиться, сотрудник, трудовои, коллектив, охрана, зарплата, персонал, увольнение, трудность, рабочии, больничныи, зарплатныи, трудоустроиство, евросоюз, совмещение, работодатель, аварииность, кадровыи, охранныи, трудоустроить, совместитель, трудоспособныи, производствен, коллективныи, безработица, союз, трудозатрата, уволиться, минтруд, занятость, уволить, заболеваемость, сохранность, контрактация, коллегия, трудоемкость, подрядныи, здравоохранение, отпуск, бригада, трудныи, страхование, вакансия"
Трудовые отношения,41,"профсоюз, профсоюзныи, всесоюзныи, электропрофсоюз, работник, евросоюз, трудовои, союз, зарплата, зарплатныи, контрактация, увольнение, совмещение, работодатель, объединение, рабочии, коллектив, совместитель, коллективныи, трудиться, сотрудник, труд, подрядныи, единство, трудоустроиство, уволить, контракт, уволиться, подрядчик, безработица, трудник, антикоррупция, коллегия, единичныи, единыи, контрактныи, кадровыи, персонал, сокращение, минтруд, объединять, коллегиальныи, отпуск, трудоустроить, трудозатрата, сотруд, сотрудничество, трудоемкость, производствен, разделение"
Безопасность и охрана здоровья,42,"аварииность, травматизм, травма, травмирование, повреждение, происшествие, смертность, авария, случаи, катастрофа, статистика, несчастныи, работник, убыток, событие, коэффициент, статистическии, случаиныи, смертельныи, профсоюз, профсоюзныи, факторинг, фактор, опасность, производствен, пасность, персонал, разрушение, страховщик, заболеваемость, опасение, ущерб, инцидент, инвалидность, численность, обесценение, больничныи, падение, страхование, сотрудник, смерть, избыток, возникновение, бедствие, погибшии, рабочии, аварииныи, нарушитель, трудник, сокращение"
