,компания,сектор,год,тип отчета,ссылка на отчет,E_Общие,E_Биоразнообразие,E_Вода,E_Газ,E_Климат,E_Отходы,E_Экологический менеджмент,E_Энергия,S_Безопасность и охрана здоровья,S_Безопасность продукта,S_Благотворительность,S_Инвестиции и капитальные вложения,S_Налоги,S_Обучение и развитие,S_Оплата труда,S_Отношения с потребителями,S_Отношения с работниками,S_Охрана здоровья,S_Профсоюзы и коллективные договоры,S_Трудовые отношения,G_Антикоррупция,G_Дивиденды и акционеры,G_Инновации,G_Лидерство,G_Отчетность и прозрачность,G_Управление рисками,G_Эффективность и производительность
1,"ОАО ""МРСК Урала""",Энергетика,2021,ИО,/download/af503e07dd6b861d1ed3048c36868cc9/,0.7200000000000004,0.3500000000000001,0.16,0.09,0.6200000000000003,0.2,0.5200000000000002,1.2600000000000007,1.1900000000000006,0.5000000000000001,0.8000000000000005,1.690000000000001,0.6400000000000002,0.26,0.9400000000000004,1.0900000000000005,0.8200000000000002,0.15,0.6000000000000003,1.4500000000000008,0.7600000000000005,1.710000000000001,0.37000000000000016,2.2000000000000006,1.6700000000000008,1.0900000000000005,1.620000000000001
2,"ПАО ""Россети Сибирь""",Энергетика,2021,ИО,/download/57becde4be827f45bedf2a46f58d793a/,1.7400000000000013,0.7800000000000004,0.2,0.04,1.5800000000000012,0.34000000000000014,1.1300000000000008,3.379999999999996,2.2000000000000006,0.8100000000000003,1.8100000000000014,3.5099999999999945,1.440000000000001,0.9300000000000005,1.590000000000001,2.16,1.580000000000001,0.2700000000000001,1.420000000000001,3.3499999999999948,1.680000000000001,4.3099999999999925,0.8600000000000005,5.9799999999999836,3.7599999999999936,1.7700000000000014,3.2599999999999945
3,"ПАО ""Россети Юг""",Энергетика,2021,ИО,/download/851fbaea09387885cefa38bd3b6838f3/,2.1199999999999997,0.8400000000000005,0.46000000000000013,0.15,1.460000000000001,0.5600000000000003,1.2300000000000006,3.71999999999999,2.949999999999996,1.670000000000001,2.1300000000000003,4.249999999999988,1.7400000000000013,0.9900000000000004,1.880000000000001,2.969999999999995,1.680000000000001,0.24000000000000007,1.490000000000001,4.069999999999991,2.0300000000000007,4.739999999999985,0.7500000000000004,6.229999999999982,4.299999999999988,2.309999999999999,4.129999999999986
4,ПАО «Россети Ленэнерго»,Энергетика,2021,ИО,/download/2034b8c8e84e4bba78049bdd976fc122/,1.7700000000000011,0.6100000000000002,0.29000000000000004,0.17000000000000004,1.560000000000001,0.37000000000000016,1.2400000000000007,4.979999999999993,2.709999999999997,1.5000000000000004,1.6800000000000013,3.8699999999999966,1.5700000000000007,0.8400000000000003,1.8500000000000008,2.250000000000001,1.8300000000000007,0.42000000000000004,1.4600000000000009,3.249999999999997,1.8100000000000012,3.5599999999999956,1.0400000000000007,4.419999999999991,3.759999999999996,2.2800000000000002,3.739999999999996
5,ПАО «Россети Кубань»,Энергетика,2021,ИО,/download/9462e171afc761c3f098fce4f993e2a8/,1.9300000000000013,0.8800000000000006,0.23000000000000007,0.09,1.700000000000001,0.4600000000000002,1.2400000000000007,4.069999999999993,3.029999999999994,2.010000000000001,4.419999999999992,5.259999999999993,2.4899999999999967,1.2400000000000007,2.429999999999998,3.1399999999999935,2.17,0.23000000000000007,1.8600000000000012,4.169999999999988,2.060000000000001,5.189999999999991,0.9500000000000006,6.049999999999985,4.879999999999991,3.2199999999999944,4.7399999999999896
6,"ПАО ""Россети Волга""",Энергетика,2021,ИО,/download/dbcc3ea31c4810baf01dd8aa8a6b964a/,0.9200000000000005,0.43000000000000016,0.16000000000000003,0.05,0.7400000000000004,0.21000000000000002,0.6000000000000002,1.510000000000001,1.3900000000000008,0.6900000000000003,0.9600000000000006,2.150000000000001,0.6800000000000003,0.6000000000000002,1.0900000000000003,1.5500000000000012,0.9100000000000003,0.18000000000000002,0.7900000000000005,2.0800000000000005,0.9200000000000006,2.6199999999999983,0.3700000000000001,3.749999999999998,2.47,1.1600000000000006,2.080000000000001
7,ПАО «Распадская»,Металлургическая и горнодобывающая,2021,ИО,/download/173b31c8f09c7cf196eb7c2126e2c54e/,1.3800000000000008,0.6400000000000003,0.5200000000000002,0.7500000000000003,2.7299999999999978,0.6200000000000003,1.2600000000000007,1.0900000000000005,2.150000000000001,0.9400000000000004,0.9200000000000005,2.2499999999999996,0.5000000000000002,0.5700000000000001,1.710000000000001,1.2200000000000006,1.3800000000000008,0.38,1.2900000000000007,2.330000000000001,1.1800000000000006,1.9100000000000013,0.5900000000000003,2.4899999999999998,2.050000000000001,1.740000000000001,2.289999999999999
8,"ПАО ""Метафракс Кемикалс""","Химическая, нефтехимическая, парфюмерная",2021,ОУР,/download/e4955511fb76f3f0c98273bf47f9adab/,0.7200000000000002,0.22999999999999998,0.34,0.07999999999999999,0.7500000000000003,0.20000000000000004,0.8300000000000002,0.48000000000000015,1.1200000000000006,0.5500000000000002,0.5600000000000002,1.0100000000000007,0.28,0.6700000000000002,0.8700000000000003,0.49000000000000016,0.5400000000000001,0.16000000000000003,0.5500000000000002,1.4100000000000008,0.7600000000000005,1.2000000000000006,0.24000000000000005,1.7000000000000008,1.1800000000000006,1.0100000000000005,1.2200000000000006
9,БФ Спина бифида,Некоммерческие организации,2021,СО,/download/30aba458765d34110ec2c86aebd5d253/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01
10,ОАО «КРАСЦВЕТМЕТ»,Металлургическая и горнодобывающая,2021,ОУР,/download/91895cf169437758f5e3b6ffaca21d7f/,1.3100000000000007,0.5200000000000001,0.6000000000000002,0.38,0.8900000000000006,0.7200000000000002,0.7300000000000002,0.7000000000000003,1.650000000000001,0.44,0.7600000000000005,1.0600000000000005,0.5500000000000002,0.6000000000000001,1.0400000000000005,1.0500000000000005,0.9600000000000004,0.6500000000000001,1.0400000000000007,1.540000000000001,1.1100000000000005,0.7500000000000002,0.35000000000000003,1.1400000000000006,1.2900000000000007,0.9900000000000004,1.3200000000000007
