,компания,сектор,год,тип отчета,ссылка на отчет,E_Общие,E_Биоразнообразие,E_Вода,E_Газ,E_Климат,E_Отходы,E_Экологический менеджмент,E_Энергия,S_Безопасность и охрана здоровья,S_Безопасность продукта,S_Благотворительность,S_Инвестиции и капитальные вложения,S_Налоги,S_Обучение и развитие,S_Оплата труда,S_Отношения с потребителями,S_Отношения с работниками,S_Охрана здоровья,S_Профсоюзы и коллективные договоры,S_Трудовые отношения,G_Антикоррупция,G_Дивиденды и акционеры,G_Инновации,G_Лидерство,G_Отчетность и прозрачность,G_Управление рисками,G_Эффективность и производительность
1,"ОАО ""МРСК Урала""",Энергетика,2021,ИО,/download/af503e07dd6b861d1ed3048c36868cc9/,0.02,0.01,0.0,0.0,0.02,0.0,0.02,0.03,0.03,0.02,0.02,0.05,0.01,0.01,0.03,0.03,0.03,0.0,0.02,0.05,0.02,0.06,0.01,0.08,0.05,0.03,0.05
2,"ПАО ""Россети Сибирь""",Энергетика,2021,ИО,/download/57becde4be827f45bedf2a46f58d793a/,0.01,0.01,0.0,0.0,0.02,0.0,0.01,0.04,0.02,0.01,0.02,0.03,0.01,0.01,0.02,0.02,0.02,0.0,0.02,0.03,0.01,0.05,0.01,0.07,0.04,0.02,0.03
3,"ПАО ""Россети Юг""",Энергетика,2021,ИО,/download/851fbaea09387885cefa38bd3b6838f3/,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.03,0.02,0.01,0.02,0.03,0.01,0.01,0.01,0.02,0.01,0.0,0.01,0.03,0.01,0.05,0.01,0.06,0.03,0.02,0.03
4,ПАО «Россети Ленэнерго»,Энергетика,2021,ИО,/download/2034b8c8e84e4bba78049bdd976fc122/,0.02,0.01,0.0,0.0,0.02,0.0,0.02,0.08,0.03,0.02,0.02,0.04,0.01,0.01,0.02,0.02,0.02,0.0,0.02,0.04,0.02,0.05,0.01,0.06,0.04,0.02,0.04
5,ПАО «Россети Кубань»,Энергетика,2021,ИО,/download/9462e171afc761c3f098fce4f993e2a8/,0.02,0.01,0.0,0.0,0.02,0.01,0.01,0.04,0.03,0.02,0.06,0.05,0.02,0.01,0.02,0.03,0.02,0.0,0.02,0.04,0.02,0.06,0.01,0.07,0.05,0.03,0.05
6,"ПАО ""Россети Волга""",Энергетика,2021,ИО,/download/dbcc3ea31c4810baf01dd8aa8a6b964a/,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.02,0.01,0.01,0.03,0.01,0.01,0.02,0.02,0.01,0.0,0.01,0.03,0.01,0.05,0.01,0.07,0.04,0.02,0.03
7,ПАО «Распадская»,Металлургическая и горнодобывающая,2021,ИО,/download/173b31c8f09c7cf196eb7c2126e2c54e/,0.03,0.01,0.01,0.02,0.07,0.01,0.03,0.02,0.04,0.02,0.02,0.04,0.01,0.01,0.04,0.02,0.03,0.01,0.03,0.05,0.02,0.04,0.01,0.06,0.04,0.03,0.05
8,"ПАО ""Метафракс Кемикалс""","Химическая, нефтехимическая, парфюмерная",2021,ОУР,/download/e4955511fb76f3f0c98273bf47f9adab/,0.03,0.01,0.01,0.0,0.04,0.01,0.04,0.02,0.06,0.04,0.03,0.05,0.01,0.03,0.05,0.02,0.03,0.01,0.04,0.08,0.04,0.07,0.01,0.09,0.06,0.05,0.06
9,БФ Спина бифида,Некоммерческие организации,2021,СО,/download/30aba458765d34110ec2c86aebd5d253/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01
10,ОАО «КРАСЦВЕТМЕТ»,Металлургическая и горнодобывающая,2021,ОУР,/download/91895cf169437758f5e3b6ffaca21d7f/,0.05,0.02,0.03,0.01,0.04,0.03,0.04,0.03,0.07,0.02,0.03,0.04,0.02,0.02,0.05,0.04,0.05,0.03,0.05,0.07,0.05,0.03,0.01,0.05,0.06,0.04,0.06
11,Брусника,Строительство,2021,ИО,/download/84710b41b4953b6a50e87e9c7f86b3a8/,0.03,0.03,0.02,0.01,0.02,0.02,0.02,0.03,0.03,0.01,0.03,0.04,0.02,0.01,0.01,0.03,0.01,0.01,0.01,0.03,0.02,0.04,0.02,0.04,0.04,0.03,0.04
12,АО НК «КазМунайГаз»,Нефтегазовая,2021,ОУР,/download/76839cac7a2af52e18a8f85d2a56b269/,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.02,0.01,0.01,0.0,0.02,0.02,0.01,0.02
13,АО «ИНК-Капитал»,Нефтегазовая,2021,ИО,/download/44eba6e6c990c102d59b0bfe54a1250e/,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.02,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.01,0.02,0.0,0.02,0.0
14,АО «Атомэнергопром»,Энергетика,2021,ИО,/download/b3e1f970ecafb96a10f068cb0e8af6c5/,0.08,0.02,0.02,0.07,0.03,0.01,0.04,0.1,0.09,0.02,0.03,0.08,0.02,0.01,0.03,0.04,0.02,0.01,0.02,0.04,0.02,0.03,0.02,0.05,0.04,0.04,0.04
15,VK,Телекоммуникационная и связь,2021,ОУР,/download/c19f55ff7350818887f919e31a67921a/,0.03,0.01,0.01,0.0,0.03,0.02,0.03,0.02,0.06,0.02,0.04,0.04,0.01,0.02,0.06,0.05,0.05,0.02,0.04,0.06,0.04,0.04,0.03,0.06,0.06,0.05,0.05
16,ROS AGRO PLC,Производство пищевых и других потребительских товаров,2021,ОУР,/download/912b36dcf8c47afca4e68f6617b73730/,0.05,0.01,0.02,0.01,0.04,0.03,0.02,0.03,0.07,0.02,0.04,0.05,0.01,0.03,0.05,0.07,0.05,0.01,0.04,0.08,0.05,0.04,0.02,0.06,0.06,0.05,0.06
17,Etalon Group,Строительство,2021,ИО,/download/2cc1c0eb1944a671476d24bd947e30be/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"ПАО ""ЭсЭфАй""",Финансы и страхование,2021,ИО,/download/d69ba992e68e8ba3e1b410e280464e7a/,0.03,0.01,0.0,0.01,0.03,0.01,0.02,0.02,0.04,0.03,0.02,0.1,0.03,0.02,0.05,0.04,0.03,0.01,0.01,0.05,0.02,0.11,0.02,0.08,0.06,0.06,0.08
19,"ПАО ""ЯТЭК""",Нефтегазовая,2021,ИО,/download/a70843675d1ff69bd2d72f3a15a3eaba/,0.03,0.03,0.02,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.06,0.02,0.01,0.03,0.02,0.02,0.0,0.01,0.05,0.03,0.06,0.01,0.06,0.05,0.04,0.06
