year,company,letter,компания РСПП
2017,АЛРОСА,A,АК «АЛРОСА»
2017,«ИнтерРАО»,A,ПАО «ИНТЕР РАО ЕЭС»
2017,ЛУКОЙЛ,A,ПАО «ЛУКОЙЛ»
2017,«Металлоинвест»,A,«МЕТАЛЛОИНВЕСТ»
2017,«Норильский никель»,A,ПАО «ГМК «Норильский никель»
2017,«Росатом»,A,Госкорпорация «Росатом»
2017,«Роснефть»,A,ПАО «НК «Роснефть»
2017,СИБУР,A,ПАО «СИБУР-Холдинг»
2017,АФК «Система»,A,АФК «Система»
2017,РУСАЛ,A,ОК РУСАЛ
2017,«Северсталь»,A,ПАО «Северсталь»
2017,СУЭК,A,АО «СУЭК»
2017,«Аэрофлот»,B,ПАО «АЭРОФЛОТ»
2017,«Газпром»,B,ПАО «Газпром»
2017,«ЕвроХим»,B,АО «МХК «ЕвроХим»
2017,«Зарубежнефть»,B,АО «Зарубежнефть»
2017,КАМАЗ,B,ПАО «КАМАЗ»
2017,МТС,B,ПАО «МТС»
2017,НОВАТЭК,B,ПАО «НОВАТЭК»
2017,НЛМК,B,ПАО «НЛМК»
2017,РЖД,B,ОАО «РЖД»
2017,«Российские сети»,B,
2017,«Ростелеком»,B,ПАО «Ростелеком»
2017,«РусГидро»,B,ПАО «РусГидро»
2017,Сбербанк,B,ПАО «Сбербанк России» 
2017,«Сахалин Энерджи»,B,«Сахалин Энерджи»
2017,«Татнефть»,B,ПАО «Татнефть»
2017,«Транснефть»,B,ПАО «Транснефть»
2017,«Уралкалий»,B,ПАО «Уралкалий»
2018,АЛРОСА,A,АК «АЛРОСА»
2018,«Газпром»,A,ПАО «Газпром»
2018,«Зарубежнефть»,A,АО «Зарубежнефть»
2018,ЛУКОЙЛ,A,ПАО «ЛУКОЙЛ»
2018,«Металлоинвест»,A,«МЕТАЛЛОИНВЕСТ»
2018,«Норникель»,A,ПАО «ГМК «Норильский никель»
2018,Роснефть,A,ПАО «НК «Роснефть»
2018,«Ростелеком»,A,ПАО «Ростелеком»
2018,«Северсталь»,A,ПАО «Северсталь»
2018,СИБУР,A,ПАО «СИБУР-Холдинг»
2018,АФК «Система»,A,АФК «Система»
2018,СУЭК,A,АО «СУЭК»
2018,«Аэрофлот»,B,ПАО «АЭРОФЛОТ»
2018,ЕВРАЗ,B,
2018,«ЕвроХим»,B,АО «МХК «ЕвроХим»
2018,«Интер РАО»,B,ПАО «ИНТЕР РАО ЕЭС»
2018,ММК,B,ПАО «ММК» 
2018,МТС,B,ПАО «МТС»
2018,НОВАТЭК,B,ПАО «НОВАТЭК»
2018,ОМК,B,АО «ОМК»
2018,НЛМК,B,ПАО «НЛМК»
2018,«Полюс»,B,ПАО «Полюс»
2018,РУСАЛ,B,ОК РУСАЛ
2018,РЖД,B,ОАО «РЖД»
2018,«Росатом»,B,Госкорпорация «Росатом»
2018,«Российские сети»,B,
2018,«РусГидро»,B,ПАО «РусГидро»
2018,«Сахалин Энерджи»,B,«Сахалин Энерджи»
2018,Сбербанк,B,ПАО «Сбербанк России» 
2018,ТМК,B,ПАО «ТМК»
2018,«Транснефть»,B,ПАО «Транснефть»
2018,«ФосАгро»,B,ПАО «ФосАгро»
2019,АЛРОСА,A,АК «АЛРОСА»
2019,«Газпром»,A,ПАО «Газпром»
2019,«Интер РАО»,A,ПАО «ИНТЕР РАО ЕЭС»
2019,ЛУКОЙЛ,A,ПАО «ЛУКОЙЛ»
2019,«Металлоинвест»,A,«МЕТАЛЛОИНВЕСТ»
2019,НЛМК,A,ПАО «НЛМК»
2019,«Норильский никель»,A,ПАО «ГМК «Норильский никель»
2019,«Роснефть»,A,ПАО «НК «Роснефть»
2019,«Ростелеком»,A,ПАО «Ростелеком»
2019,«Северсталь»,A,ПАО «Северсталь»
2019,СИБУР,A,ПАО «СИБУР-Холдинг»
2019,АФК «Система»,A,АФК «Система»
2019,«Аэрофлот»,B,ПАО «АЭРОФЛОТ»
2019,ЕВРАЗ,B,
2019,«ЕвроХим»,B,АО «МХК «ЕвроХим»
2019,КАМАЗ,B,ПАО «КАМАЗ»
2019,ММК,B,ПАО «ММК» 
2019,МТС,B,ПАО «МТС»
2019,НОВАТЭК,B,ПАО «НОВАТЭК»
2019,ОМК,B,АО «ОМК»
2019,«Полюс»,B,ПАО «Полюс»
2019,РЖД,B,ОАО «РЖД»
2019,«Росатом»,B,Госкорпорация «Росатом»
2019,«Российские сети»,B,
2019,РУСАЛ,B,ОК РУСАЛ
2019,«РусГидро»,B,ПАО «РусГидро»
2019,«Сахалин Энерджи»,B,«Сахалин Энерджи»
2019,Сбербанк,B,ПАО «Сбербанк России» 
2019,СУЭК,B,АО «СУЭК»
2019,«Татнефть»,B,ПАО «Татнефть»
2019,ТМК,B,ПАО «ТМК»
2019,«Транснефть»,B,ПАО «Транснефть»
2019,«ФосАгро»,B,ПАО «ФосАгро»
2019,ФСК ЕЭС,B,ПАО «ФСК ЕЭС» («Россети»)
2020,АЛРОСА,A,АК «АЛРОСА»
2020,АФК «Система»,A,АФК «Система»
2020,«Газпром»,A,ПАО «Газпром»
2020,«Интер РАО»,A,ПАО «ИНТЕР РАО ЕЭС»
2020,ЛУКОЙЛ,A,ПАО «ЛУКОЙЛ»
2020,«Металлоинвест»,A,«МЕТАЛЛОИНВЕСТ»
2020,ММК,A,ПАО «ММК» 
2020,НЛМК,A,ПАО «НЛМК»
2020,«Норильский никель»,A,ПАО «ГМК «Норильский никель»
2020,«Роснефть»,A,ПАО «НК «Роснефть»
2020,«Российские сети»,A,
2020,«Ростелеком»,A,ПАО «Ростелеком»
2020,«РусГидро»,A,ПАО «РусГидро»
2020,«Северсталь»,A,ПАО «Северсталь»
2020,СИБУР,A,ПАО «СИБУР-Холдинг»
2020,СУЭК,A,АО «СУЭК»
2020,«Уралкалий»,A,ПАО «Уралкалий»
2020,«Аэрофлот»,B,ПАО «АЭРОФЛОТ»
2020,Банк ВТБ,B,«Банк ВТБ» (ПАО)
2020,ЕВРАЗ,B,
2020,«ЕвроХим»,B,АО «МХК «ЕвроХим»
2020,КАМАЗ,B,ПАО «КАМАЗ»
2020,«Леруа Мерлен Восток»,B,ООО «Леруа Мерлен Восток»
2020,ЛСР,B,Группа ЛСР
2020,«Магнит»,B,Магнит
2020,МТС,B,ПАО «МТС»
2020,Московская Биржа,B,Московская Биржа
2020,НОВАТЭК,B,ПАО «НОВАТЭК»
2020,ОМК,B,АО «ОМК»
2020,«Петропавловск»,B,Петропавловск
2020,«Полиметалл»,B,ПАО «Полиметалл»
2020,«Полюс»,B,ПАО «Полюс»
2020,«Почта России»,B,
2020,РУСАЛ,B,ОК РУСАЛ
2020,РЖД,B,ОАО «РЖД»
2020,«Росатом»,B,Госкорпорация «Росатом»
2020,«Сахалин Энерджи»,B,«Сахалин Энерджи»
2020,Сбербанк,B,ПАО «Сбербанк России» 
2020,«Татнефть»,B,ПАО «Татнефть»
2020,ТМК,B,ПАО «ТМК»
2020,«Транснефть»,B,ПАО «Транснефть»
2020,«ФосАгро»,B,ПАО «ФосАгро»
2020,ФСК ЕЭС,B,ПАО «ФСК ЕЭС» («Россети»)
2021,АЛРОСА,A,АК «АЛРОСА»
2021,АФК «Система»,A,АФК «Система»
2021,«Газпром»,A,ПАО «Газпром»
2021,«Интер РАО»,A,ПАО «ИНТЕР РАО ЕЭС»
2021,ЛУКОЙЛ,A,ПАО «ЛУКОЙЛ»
2021,«Металлоинвест»,A,«МЕТАЛЛОИНВЕСТ»
2021,ММК,A,ПАО «ММК» 
2021,НЛМК,A,ПАО «НЛМК»
2021,«Норильский никель»,A,ПАО «ГМК «Норильский никель»
2021,«Полиметалл»,A,ПАО «Полиметалл»
2021,РЖД,A,ОАО «РЖД»
2021,«Роснефть»,A,ПАО «НК «Роснефть»
2021,«Россети»,A,ПАО «Россети»
2021,«Ростелеком»,A,ПАО «Ростелеком»
2021,«РусГидро»,A,ПАО «РусГидро»
2021,«Северсталь»,A,ПАО «Северсталь»
2021,СИБУР,A,ПАО «СИБУР-Холдинг»
2021,СУЭК,A,АО «СУЭК»
2021,«Татнефть»,A,ПАО «Татнефть»
2021,«Уралкалий»,A,ПАО «Уралкалий»
2021,«ФосАгро»,A,ПАО «ФосАгро»
2021,«ВымпелКом»,B+,ПАО «ВЫМПЕЛКОМ» / БРЕНД БИЛАЙН
2021,КАМАЗ,B+,ПАО «КАМАЗ»
2021,ЛСР,B+,Группа ЛСР
2021,Московская Биржа,B+,Московская Биржа
2021,МТС,B+,ПАО «МТС»
2021,НОВАТЭК,B+,ПАО «НОВАТЭК»
2021,ОМК,B+,АО «ОМК»
2021,«Полюс»,B+,ПАО «Полюс»
2021,«Росатом»,B+,Госкорпорация «Росатом»
2021,«Сахалин Энерджи»,B+,«Сахалин Энерджи»
2021,«Транснефть»,B+,ПАО «Транснефть»
2021,ФСК ЕЭС,B+,ПАО «ФСК ЕЭС» («Россети»)
2021,Х5 Retail Group,B,X5 Retail Group
2021,«Аэрофлот»,B,ПАО «АЭРОФЛОТ»
2021,ВТБ,B,«Банк ВТБ» (ПАО)
2021,Газпромбанк,B,ПАО «Газпром»
2021,ЕВРАЗ,B,
2021,«ЕвроХим»,B,АО «МХК «ЕвроХим»
2021,«Леруа Мерлен Восток»,B,ООО «Леруа Мерлен Восток»
2021,«Магнит»,B,Магнит
2021,Московский кредитный банк,B,ПАО «Московский кредитный банк»
2021,«Петропавловск»,B,Петропавловск
2021,«Почта России»,B,
2021,РУСАЛ,B,ОК РУСАЛ
2021,Сбербанк,B,ПАО «Сбербанк России» 
2021,ТМК,B,ПАО «ТМК»
2021,«Филип Моррис»,B,«Филип Моррис Интернэшнл» в России
2021,ВЭБ.РФ,C,ВЭБ РФ
2021,«Детский мир»,C,Группа компаний «Детский мир»
2021,«Русагро»,C,
2021,«Сургутнефтегаз»,C,ОАО «Сургутнефтегаз»
2022,АФК «Система»,A,АФК «Система»
2022,«Газпром»,A,ПАО «Газпром»
2022,ЛСР,A,Группа ЛСР
2022,ЛУКОЙЛ,A,ПАО «ЛУКОЙЛ»
2022,МТС,A,ПАО «МТС»
2022,НЛМК,A,ПАО «НЛМК»
2022,НОВАТЭК,A,ПАО «НОВАТЭК»
2022,«Норильский никель»,A,ПАО «ГМК «Норильский никель»
2022,«Россети»,A,ПАО «Россети»
2022,«Ростелеком»,A,ПАО «Ростелеком»
2022,РУСАЛ,A,ОК РУСАЛ
2022,«РусГидро»,A,ПАО «РусГидро»
2022,«Северсталь»,A,ПАО «Северсталь»
2022,СУЭК,A,АО «СУЭК»
2022,«Татнефть»,A,ПАО «Татнефть»
2022,«Уралкалий»,A,ПАО «Уралкалий»
2022,«ФосАгро»,A,ПАО «ФосАгро»
2022,ФСК ЕЭС,A,ПАО «ФСК ЕЭС» («Россети»)
2022,En+ Group,B+,En+ Group
2022,X5 Retail Group,B+,X5 Retail Group
2022,«Аэрофлот»,B+,ПАО «АЭРОФЛОТ»
2022,«ВымпелКом»,B+,ПАО «ВЫМПЕЛКОМ» / БРЕНД БИЛАЙН
2022,«Интер РАО»,B+,ПАО «ИНТЕР РАО ЕЭС»
2022,«Лента»,B+,
2022,Металлоинвест,B+,«МЕТАЛЛОИНВЕСТ»
2022,Московская Биржа,B+,Московская Биржа
2022,ОМК,B+,АО «ОМК»
2022,«Полиметалл»,B+,ПАО «Полиметалл»
2022,«Полюс»,B+,ПАО «Полюс»
2022,«Росатом»,B+,Госкорпорация «Росатом»
2022,«Роснефть»,B+,ПАО «НК «Роснефть»
2022,«Сахалинская Энергия»,B+,«Сахалин Энерджи»
2022,«Т Плюс»,B+,
2022,АЛРОСА,B,АК «АЛРОСА»
2022,«Детский мир»,B,Группа компаний «Детский мир»
2022,ЕВРАЗ,B,
2022,ИНК-Капитал,B,АО «ИНК-Капитал»
2022,«Леруа Мерлен Восток»,B,ООО «Леруа Мерлен Восток»
2022,«Магнит»,B,Магнит
2022,«Мечел»,B,
2022,Московский кредитный банк,B,ПАО «Московский кредитный банк»
2022,РЖД,B,ОАО «РЖД»
2022,«Русагро»,B,
2022,СИБУР,B,ПАО «СИБУР-Холдинг»
2022,«Уралхим»,B,
2022,«Яндекс»,B,Яндекс
2022,Fix Price,C,
2022,«ЕвроХим»,C,АО «МХК «ЕвроХим»
