year,company,letter
2017,АЛРОСА,A
2017,«ИнтерРАО»,A
2017,ЛУКОЙЛ,A
2017,«Металлоинвест»,A
2017,«Норильский никель»,A
2017,«Росатом»,A
2017,«Роснефть»,A
2017,СИБУР,A
2017,АФК «Система»,A
2017,РУСАЛ,A
2017,«Северсталь»,A
2017,СУЭК,A
2017,«Аэрофлот»,B
2017,«Газпром»,B
2017,«ЕвроХим»,B
2017,«Зарубежнефть»,B
2017,КАМАЗ,B
2017,МТС,B
2017,НОВАТЭК,B
2017,НЛМК,B
2017,РЖД,B
2017,«Российские сети»,B
2017,«Ростелеком»,B
2017,«РусГидро»,B
2017,Сбербанк,B
2017,«Сахалин Энерджи»,B
2017,«Татнефть»,B
2017,«Транснефть»,B
2017,«Уралкалий»,B
2018,АЛРОСА,A
2018,«Газпром»,A
2018,«Зарубежнефть»,A
2018,ЛУКОЙЛ,A
2018,«Металлоинвест»,A
2018,«Норникель»,A
2018,Роснефть,A
2018,«Ростелеком»,A
2018,«Северсталь»,A
2018,СИБУР,A
2018,АФК «Система»,A
2018,СУЭК,A
2018,«Аэрофлот»,B
2018,ЕВРАЗ,B
2018,«ЕвроХим»,B
2018,«Интер РАО»,B
2018,ММК,B
2018,МТС,B
2018,НОВАТЭК,B
2018,ОМК,B
2018,НЛМК,B
2018,«Полюс»,B
2018,РУСАЛ,B
2018,РЖД,B
2018,«Росатом»,B
2018,«Российские сети»,B
2018,«РусГидро»,B
2018,«Сахалин Энерджи»,B
2018,Сбербанк,B
2018,ТМК,B
2018,«Транснефть»,B
2018,«ФосАгро»,B
2019,АЛРОСА,A
2019,«Газпром»,A
2019,«Интер РАО»,A
2019,ЛУКОЙЛ,A
2019,«Металлоинвест»,A
2019,НЛМК,A
2019,«Норильский никель»,A
2019,«Роснефть»,A
2019,«Ростелеком»,A
2019,«Северсталь»,A
2019,СИБУР,A
2019,АФК «Система»,A
2019,«Аэрофлот»,B
2019,ЕВРАЗ,B
2019,«ЕвроХим»,B
2019,КАМАЗ,B
2019,ММК,B
2019,МТС,B
2019,НОВАТЭК,B
2019,ОМК,B
2019,«Полюс»,B
2019,РЖД,B
2019,«Росатом»,B
2019,«Российские сети»,B
2019,РУСАЛ,B
2019,«РусГидро»,B
2019,«Сахалин Энерджи»,B
2019,Сбербанк,B
2019,СУЭК,B
2019,«Татнефть»,B
2019,ТМК,B
2019,«Транснефть»,B
2019,«ФосАгро»,B
2019,ФСК ЕЭС,B
2020,АЛРОСА,A
2020,АФК «Система»,A
2020,«Газпром»,A
2020,«Интер РАО»,A
2020,ЛУКОЙЛ,A
2020,«Металлоинвест»,A
2020,ММК,A
2020,НЛМК,A
2020,«Норильский никель»,A
2020,«Роснефть»,A
2020,«Российские сети»,A
2020,«Ростелеком»,A
2020,«РусГидро»,A
2020,«Северсталь»,A
2020,СИБУР,A
2020,СУЭК,A
2020,«Уралкалий»,A
2020,«Аэрофлот»,B
2020,Банк ВТБ,B
2020,ЕВРАЗ,B
2020,«ЕвроХим»,B
2020,КАМАЗ,B
2020,«Леруа Мерлен Восток»,B
2020,ЛСР,B
2020,«Магнит»,B
2020,МТС,B
2020,Московская Биржа,B
2020,НОВАТЭК,B
2020,ОМК,B
2020,«Петропавловск»,B
2020,«Полиметалл»,B
2020,«Полюс»,B
2020,«Почта России»,B
2020,РУСАЛ,B
2020,РЖД,B
2020,«Росатом»,B
2020,«Сахалин Энерджи»,B
2020,Сбербанк,B
2020,«Татнефть»,B
2020,ТМК,B
2020,«Транснефть»,B
2020,«ФосАгро»,B
2020,ФСК ЕЭС,B
2021,АЛРОСА,A
2021,АФК «Система»,A
2021,«Газпром»,A
2021,«Интер РАО»,A
2021,ЛУКОЙЛ,A
2021,«Металлоинвест»,A
2021,ММК,A
2021,НЛМК,A
2021,«Норильский никель»,A
2021,«Полиметалл»,A
2021,РЖД,A
2021,«Роснефть»,A
2021,«Россети»,A
2021,«Ростелеком»,A
2021,«РусГидро»,A
2021,«Северсталь»,A
2021,СИБУР,A
2021,СУЭК,A
2021,«Татнефть»,A
2021,«Уралкалий»,A
2021,«ФосАгро»,A
2021,«ВымпелКом»,B+
2021,КАМАЗ,B+
2021,ЛСР,B+
2021,Московская Биржа,B+
2021,МТС,B+
2021,НОВАТЭК,B+
2021,ОМК,B+
2021,«Полюс»,B+
2021,«Росатом»,B+
2021,«Сахалин Энерджи»,B+
2021,«Транснефть»,B+
2021,ФСК ЕЭС,B+
2021,Х5 Retail Group,B
2021,«Аэрофлот»,B
2021,ВТБ,B
2021,Газпромбанк,B
2021,ЕВРАЗ,B
