,компания,сектор,год,тип отчета,ссылка на отчет
0,РУДН,"Образование, здравоохранение",2021,ОУР,/download/7033aa33d6bfc2f5e069f547a5b15109/
1,"ОАО ""МРСК Урала""",Энергетика,2021,ИО,/download/af503e07dd6b861d1ed3048c36868cc9/
2,"ПАО ""Россети Сибирь""",Энергетика,2021,ИО,/download/57becde4be827f45bedf2a46f58d793a/
3,"ПАО ""Россети Юг""",Энергетика,2021,ИО,/download/851fbaea09387885cefa38bd3b6838f3/
4,ПАО «Россети Ленэнерго»,Энергетика,2021,ИО,/download/2034b8c8e84e4bba78049bdd976fc122/
5,ПАО «Россети Кубань»,Энергетика,2021,ИО,/download/9462e171afc761c3f098fce4f993e2a8/
6,"ПАО ""Россети Волга""",Энергетика,2021,ИО,/download/dbcc3ea31c4810baf01dd8aa8a6b964a/
7,ПАО «Распадская»,Металлургическая и горнодобывающая,2021,ИО,/download/173b31c8f09c7cf196eb7c2126e2c54e/
8,"ПАО ""Метафракс Кемикалс""","Химическая, нефтехимическая, парфюмерная",2021,ОУР,/download/e4955511fb76f3f0c98273bf47f9adab/
9,БФ Спина бифида,Некоммерческие организации,2021,СО,/download/30aba458765d34110ec2c86aebd5d253/
10,ОАО «КРАСЦВЕТМЕТ»,Металлургическая и горнодобывающая,2021,ОУР,/download/91895cf169437758f5e3b6ffaca21d7f/
11,Брусника,Строительство,2021,ИО,/download/84710b41b4953b6a50e87e9c7f86b3a8/
12,АО НК «КазМунайГаз»,Нефтегазовая,2021,ОУР,/download/76839cac7a2af52e18a8f85d2a56b269/
13,АО «ИНК-Капитал»,Нефтегазовая,2021,ИО,/download/44eba6e6c990c102d59b0bfe54a1250e/
14,АО «Атомэнергопром»,Энергетика,2021,ИО,/download/b3e1f970ecafb96a10f068cb0e8af6c5/
15,VK,Телекоммуникационная и связь,2021,ОУР,/download/c19f55ff7350818887f919e31a67921a/
16,ROS AGRO PLC,Производство пищевых и других потребительских товаров,2021,ОУР,/download/912b36dcf8c47afca4e68f6617b73730/
17,Etalon Group,Строительство,2021,ИО,/download/2cc1c0eb1944a671476d24bd947e30be/
18,"ПАО ""ЭсЭфАй""",Финансы и страхование,2021,ИО,/download/d69ba992e68e8ba3e1b410e280464e7a/
19,"ПАО ""ЯТЭК""",Нефтегазовая,2021,ИО,/download/a70843675d1ff69bd2d72f3a15a3eaba/
20,"ПАО ""ЯТЭК""",Нефтегазовая,2021,ОУР,/download/b56d4e7c54620ddbe5b5c5f1b7d5bbaa/
21,"ПАО ""ЯТЭК""",Нефтегазовая,2021,ОУР,/download/c5c0e46c792d0d0453408ef134ef64e2/
22,Etalon Group,Строительство,2020,ИО,/download/9898c3df22f8336f7a80fcac267f322d/
23,"ПАО ""ЯТЭК""",Нефтегазовая,2020,ИО,/download/2900c5613191ab5f62fc81b5879b9c4e/
24,Etalon Group,Строительство,2019,ИО,/download/e240a516973f853625ec2722ccc138c6/
25,Etalon Group,Строительство,2018,ИО,/download/90fbffee3a7938102e14b8180f5ca995/
26,Etalon Group,Строительство,2017,ИО,/download/7bec443abf7af00aca60d620ea8921a5/
27,Abbott,"Образование, здравоохранение","2013, 2012",СО,/download/77a8bfd88fe3eed49776fba778835dbf/
28,"Alcoa, Inc.",Металлургическая и горнодобывающая,2006,ОУР,/download/6ed93ed660f6c25d25adc523628a5f99/
29,"Alcoa, Inc.",Металлургическая и горнодобывающая,2005,ОУР,/download/c6f359ea67de83419163236621ec8fe7/
30,"Alcoa, Inc.",Металлургическая и горнодобывающая,2004,ОУР,/download/218c65ae2913fb4ba99aa4109749fc7a/
31,BELUGA GROUP,Производство пищевых и других потребительских товаров,2020,ОУР,/download/baae8200a1fdf328de3aeca315ebf0d2/
32,BIOCAD,Здравоохранение и спорт,"2021, 2020",ОУР,/download/5ab0f38aa43b35a05cf72fb59f614913/
33,BIOCAD,Здравоохранение и спорт,"2019, 2018",ОУР,/download/ed769a25206d71e8f2cd8e04f10ec860/
34,BP p.l.c.,Нефтегазовая,2011,ОУР,/download/8e4dfcb424b33e004f298c8fa3167e22/
35,BP p.l.c.,Нефтегазовая,2010,ОУР,/download/7485c3cac3606b5ba63e3a3342441645/
36,BP p.l.c.,Нефтегазовая,2009,ОУР,/download/12823be8874e70d03b867b5c2212f6cd/
37,BP p.l.c.,Нефтегазовая,2008,ОУР,/download/42cbc91f09caac24edd5f065431073eb/
38,BP p.l.c.,Нефтегазовая,2007,ОУР,/download/981f0a78b9acc1bd8dffe018fec1ab9e/
39,BP p.l.c.,Нефтегазовая,2006,ОУР,/download/fe6cb566005265a875c6f559a58efdfe/
40,BP p.l.c.,Нефтегазовая,2005,ОУР,/download/6bf256721bd479508958ae9bdb9d6c63/
41,BP p.l.c.,Нефтегазовая,2004,ОУР,/download/340a1f1e61bbe6f62e4e8532b7f5fb98/
42,«Coca-Cola HBC Россия»,Производство пищевых и других потребительских товаров,2020,ОУР,/download/b2fa0254faab03e5e11b9282b98f0f7d/
43,«Coca-Cola HBC Россия»,Производство пищевых и других потребительских товаров,2019,ОУР,/download/f2f40213ae5ae412ede53ab2cfc96f9d/
44,«Coca-Cola HBC Россия»,Производство пищевых и других потребительских товаров,2018,ОУР,/download/2e55777be2e555e7fb037e80a28082fa/
45,«Coca-Cola HBC Россия»,Производство пищевых и других потребительских товаров,2017,ОУР,/download/329cead1ac6cd227e08a3da3a78556cb/
46,«Coca-Cola HBC Россия»,Производство пищевых и других потребительских товаров,"2016, 2015",ОУР,/download/1e586bddb05a350c8a2fe55e24f3fd5b/
47,«Coca-Cola HBC Россия»,Производство пищевых и других потребительских товаров,2015,ОУР,/download/4cabc06c50fef81cfa9151ef50a4e760/
48,«Coca-Cola HBC Россия»,Производство пищевых и других потребительских товаров,2014,ОУР,/download/17581eb461b2ff92b41d4f336015ad69/
49,«Coca-Cola HBC Россия»,Производство пищевых и других потребительских товаров,2013,ОУР,/download/9ed2781bcf0d8d0c10dc58c6ba435871/
50,«Coca-Cola HBC Россия»,Производство пищевых и других потребительских товаров,2012,ОУР,/download/6f29a17c7d59058c573c6ee7ef8da4d8/
51,«Coca-Cola HBC Россия»,Производство пищевых и других потребительских товаров,2011,СО,/download/cd2cda47c2198edb81c0745b6f920b1b/
52,«Coca-Cola HBC Россия»,Производство пищевых и других потребительских товаров,2010,СО,/download/3d616fc100fb0427ae2f7dad02e8ac21/
53,«Coca-Cola HBC Россия»,Производство пищевых и других потребительских товаров,2009,СО,/download/256943f0f8836a61f9259fc36b20f2f5/
54,«Coca-Cola HBC Россия»,Производство пищевых и других потребительских товаров,2008,СО,/download/17926c3805477f65ed1812917fc9b2bc/
55,«Coca-Cola HBC Россия»,Производство пищевых и других потребительских товаров,2007,СО,/download/739635c39974f3355b3c5c7d74936edf/
56,«Coca-Cola HBC Россия»,Производство пищевых и других потребительских товаров,2007,СО,/download/20ed4fecdd4e2d7fbccc67d06320da8f/
57,Deloitte CIS,"Прочие виды производства, услуг",2020,ОУР,/download/8d6b16c1900216cc905d51a3b27dbe7b/
58,Deloitte CIS,"Прочие виды производства, услуг",2019,ОУР,/download/1228605dafc6a59a19dc983b7ebb82f1/
59,En+ Group ,Металлургическая и горнодобывающая,2021,ОУР,/download/ab79c66bc0311f812baff8fd760ab9c8/
60,En+ Group ,Металлургическая и горнодобывающая,2020,ОУР,/download/c6445a081dc197acc1dede2a778e7cdc/
61,En+ Group ,Металлургическая и горнодобывающая,2019,ИО,/download/87f366c6dc60bedde339f8d36852ccec/
62,En+ Group ,Металлургическая и горнодобывающая,2018,ОУР,/download/540efc4da13e32f9a10ac38185f0e34a/
63,EVRAZ PLC,Металлургическая и горнодобывающая,2021,ОУР,/download/a11e88684407cadc17f6324ded47e100/
64,EVRAZ PLC,Металлургическая и горнодобывающая,2020,ОУР,/download/1b06cdf61c7d46171504e62aa710405f/
65,EVRAZ PLC,Металлургическая и горнодобывающая,2019,ОУР,/download/7ddb015764a27c2e8f89876948c4214c/
66,EVRAZ PLC,Металлургическая и горнодобывающая,2018,ОУР,/download/aa76e6b6df6532a4d64675caff00d360/
67,EVRAZ PLC,Металлургическая и горнодобывающая,2017,ИО,/download/0d894db7615c52cad8c57c22adbe0d42/
68,Компания EY,"Прочие виды производства, услуг",2020,ОУР,/download/78c884e01bfaaab4ae2d2d8b61ce665d/
69,Компания EY,"Прочие виды производства, услуг",2019,ОУР,/download/a98576061432ac275fc4c270b641d94b/
70,Компания EY,"Прочие виды производства, услуг","2016, 2015",СО,/download/07b46af46a187ce50d6b05723d2ec1f4/
71,Компания EY,"Прочие виды производства, услуг","2014, 2013",СО,/download/be75966748b85a4a96b4288223911f1c/
72,Компания EY,"Прочие виды производства, услуг",2012,ОУР,/download/e644dc5920ad73f3f4445c399d9eb7f4/
73,Компания EY,"Прочие виды производства, услуг",2011,ОУР,/download/bdc6dbecb3b79e0970f0053ad7418d2e/
74,GV Gold,Металлургическая и горнодобывающая,2021,ОУР,/download/397d10de0e8897c7c81407a221077642/
75,GV Gold,Металлургическая и горнодобывающая,2020,ОУР,/download/8fe74780e3f4ef72520fed0ba7349ee0/
76,HEINEKEN в России,Производство пищевых и других потребительских товаров,2017,ОУР,/download/8f2eb354f74f708697db4d7f8bf710d3/
77,HEINEKEN в России,Производство пищевых и других потребительских товаров,2016,ОУР,/download/e311d361a257579605e0e268d3e1a6e5/
78,HEINEKEN в России,Производство пищевых и других потребительских товаров,2015,ОУР,/download/7f0bba57fa5111e52b01b75f7a0891b9/
79,HEINEKEN в России,Производство пищевых и других потребительских товаров,2014,ОУР,/download/1eb6127399cfabc89db2cf406079be9d/
80,HEINEKEN в России,Производство пищевых и других потребительских товаров,2013,ОУР,/download/571f841e5e43885dcb25e25ab593b5b1/
81,HEINEKEN в России,Производство пищевых и других потребительских товаров,2012,ОУР,/download/9b7b351107927be22e85bcd2489992ce/
82,HEINEKEN в России,Производство пищевых и других потребительских товаров,2011,ОУР,/download/f966cd832e3fe993678cc0b3ba7e0cba/
83,HEINEKEN в России,Производство пищевых и других потребительских товаров,2010,ОУР,/download/3d11c253cc7c2ee256b74d2f360a8db1/
84,HEINEKEN в России,Производство пищевых и других потребительских товаров,2009,ОУР,/download/88b5f09dedae28e01050f84c61f27792/
85,Holcim (Rus),Строительство,"2011, 2010",ОУР,/download/4f22e2407b9e49310b7ab1c4c0342175/
86,Intel,Телекоммуникационная и связь,2012,СО,/download/68a60638edcad219cad78ec61b1a0249/
87,MAYKOR,Телекоммуникационная и связь,2017,СО,/download/7cc0fa10ffd46bd826efbfa13f97d7e5/
88,MAYKOR,Телекоммуникационная и связь,2016,СО,/download/8f8a67466323e1ba5b7e896b97cf32b3/
89,MAYKOR,Телекоммуникационная и связь,2015,СО,/download/11dafe6d105bc4c42a7f4b493752cbf9/
90,MAYKOR,Телекоммуникационная и связь,2014,СО,/download/31063f1716b05818f7f9f03d35985504/
91,Компания Nordgold ,Металлургическая и горнодобывающая,2012,ОУР,/download/b7a5739ed89efd636367c297e8a313ff/
